date,portfolio_value
2012-09-14,260411.26
2012-09-17,260048.60
2012-09-18,260531.87
2012-09-19,262263.58
2012-09-20,261659.67
2012-09-21,261659.67
2012-09-24,263493.43
2012-09-25,252915.57
2012-09-26,251469.32
2012-09-27,251524.40
2012-09-28,251469.32
2012-10-01,246889.59
2012-10-02,248484.47
2012-10-03,253186.66
2012-10-04,256130.69
2012-10-05,259892.39
2012-10-08,257287.49
2012-10-09,244064.81
2012-10-10,244880.43
2012-10-11,244880.43
2012-10-12,244826.81
2012-10-15,247134.71
2012-10-16,257889.07
2012-10-17,257105.36
2012-10-18,248310.50
2012-10-19,230371.79
2012-10-22,234473.22
2012-10-23,227535.69
2012-10-24,225267.17
2012-10-25,230197.13
2012-10-26,230197.13
2012-10-31,226696.81
2012-11-01,233963.70
2012-11-02,233963.70
2012-11-05,238303.63
2012-11-06,239752.57
2012-11-07,222549.53
2012-11-08,224088.87
2012-11-09,224088.87
2012-11-12,220235.61
2012-11-13,215454.01
2012-11-14,218518.00
2012-11-15,218518.00
2012-11-16,218518.00
2012-11-19,226624.26
2012-11-20,226671.78
2012-11-21,228274.06
2012-11-23,235297.22
2012-11-26,239975.24
2012-11-27,237261.92
2012-11-28,243623.99
2012-11-29,247834.06
2012-11-30,246945.34
2012-12-03,240267.58
2012-12-04,238712.31
2012-12-05,238392.22
2012-12-06,238392.22
2012-12-07,238392.22
2012-12-10,242329.46
2012-12-11,251675.46
2012-12-12,249967.57
2012-12-13,244322.00
2012-12-14,237395.75
2012-12-17,246253.45
2012-12-18,254636.92
2012-12-19,254581.15
2012-12-20,254581.15
2012-12-21,254581.15
2012-12-24,253799.67
2012-12-26,247793.32
2012-12-27,248187.02
2012-12-28,248241.38
2012-12-31,266049.75
2013-01-02,266049.75
2013-01-03,266049.75
2013-01-04,266108.01
2013-01-07,268615.26
2013-01-08,267060.31
2013-01-09,269781.25
2013-01-10,274542.23
2013-01-11,275562.24
2013-01-14,276461.92
2013-01-15,272363.55
2013-01-16,275425.24
2013-01-17,279671.49
2013-01-18,278091.60
2013-01-22,278485.87
2013-01-23,283016.33
2013-01-24,271739.13
2013-01-25,274545.90
2013-01-28,276161.50
2013-01-29,276161.50
2013-01-30,274643.68
2013-01-31,272880.94
2013-02-01,281841.28
2013-02-04,272079.99
2013-02-05,284032.96
2013-02-06,281393.26
2013-02-07,282090.35
2013-02-08,286871.56
2013-02-11,286073.16
2013-02-12,282738.90
2013-02-13,285288.93
2013-02-14,285351.11
2013-02-15,285288.93
2013-02-19,289524.37
2013-02-20,276317.24
2013-02-21,273322.39
2013-02-22,273381.97
2013-02-25,257941.84
2013-02-26,261049.06
2013-02-27,261383.61
2013-02-28,261383.61
2013-03-01,261383.61
2013-03-04,267337.67
2013-03-05,279080.58
2013-03-06,281923.05
2013-03-07,281984.50
2013-03-08,281923.05
2013-03-11,285353.49
2013-03-12,281876.01
2013-03-13,280983.19
2013-03-14,283849.82
2013-03-15,281170.88
2013-03-18,286720.02
2013-03-19,285561.95
2013-03-20,291014.64
2013-03-21,281701.84
2013-03-22,289470.68
2013-03-25,283674.88
2013-03-26,288022.12
2013-03-27,289550.68
2013-03-28,291222.81
2013-04-01,284698.34
2013-04-02,291127.85
2013-04-03,283412.70
2013-04-04,283126.95
2013-04-05,283188.66
2013-04-08,287280.82
2013-04-09,292931.75
2013-04-10,303990.45
2013-04-11,303924.20
2013-04-12,303990.45
2013-04-15,289038.29
2013-04-16,301111.61
2013-04-17,283510.66
2013-04-18,285886.47
2013-04-19,285948.79
2013-04-22,291468.09
2013-04-23,300058.97
2013-04-24,299331.15
2013-04-25,307533.92
2013-04-26,307533.92
2013-04-29,313098.01
2013-04-30,319969.89
2013-05-01,315895.95
2013-05-02,327332.28
2013-05-03,337001.15
2013-05-06,339379.79
2013-05-07,338554.46
2013-05-08,343846.26
2013-05-09,342632.24
2013-05-10,348457.68
2013-05-13,351607.39
2013-05-14,356779.68
2013-05-15,359414.54
2013-05-16,358096.86
2013-05-17,368197.37
2013-05-20,369346.25
2013-05-21,370723.09
2013-05-22,361676.13
2013-05-23,351301.87
2013-05-24,351301.87
2013-05-28,346371.97
2013-05-29,341144.97
2013-05-30,341238.62
2013-05-31,341312.99
2013-06-03,342464.96
2013-06-04,337322.63
2013-06-05,324395.74
2013-06-06,325292.04
2013-06-07,325362.95
2013-06-10,323445.85
2013-06-11,314082.24
2013-06-12,319834.37
2013-06-13,319904.09
2013-06-14,319834.37
2013-06-17,321279.79
2013-06-18,328869.09
2013-06-19,318524.25
2013-06-20,295033.91
2013-06-21,295259.41
2013-06-24,293174.72
2013-06-25,302195.50
2013-06-26,302195.50
2013-06-27,302129.65
2013-06-28,302129.65
2013-07-01,301285.30
2013-07-02,301418.81
2013-07-03,305506.90
2013-07-05,311416.99
2013-07-08,307510.66
2013-07-09,313137.65
2013-07-10,318240.80
2013-07-11,318240.80
2013-07-12,318240.80
2013-07-15,319698.21
2013-07-16,318443.28
2013-07-17,320710.24
2013-07-18,318362.46
2013-07-19,308686.85
2013-07-22,307645.46
2013-07-23,300795.74
2013-07-24,309728.60
2013-07-25,309593.62
2013-07-26,309593.62
2013-07-29,309752.31
2013-07-30,314353.44
2013-07-31,316336.63
2013-08-01,325975.67
2013-08-02,331409.97
2013-08-05,333280.82
2013-08-06,327349.94
2013-08-07,325479.09
2013-08-08,330892.59
2013-08-09,330964.73
2013-08-12,337053.64
2013-08-13,342652.19
2013-08-14,338851.56
2013-08-15,321851.94
2013-08-16,321933.55
2013-08-19,319521.94
2013-08-20,323895.66
2013-08-21,320666.60
2013-08-22,329618.07
2013-08-23,329689.93
2013-08-26,329458.13
2013-08-27,308722.37
2013-08-28,308522.54
2013-08-29,308589.80
2013-08-30,308589.80
2013-09-03,306178.80
2013-09-04,317205.73
2013-09-05,317205.73
2013-09-06,317205.73
2013-09-09,324537.63
2013-09-10,329450.98
2013-09-11,327788.16
2013-09-12,326314.03
2013-09-13,327372.38
2013-09-16,316753.88
2013-09-17,323096.81
2013-09-18,336336.42
2013-09-19,336336.42
2013-09-20,336263.11
2013-09-23,329732.90
2013-09-24,329806.16
2013-09-25,330283.36
2013-09-26,330283.36
2013-09-27,330283.36
2013-09-30,338589.33
2013-10-01,348736.83
2013-10-02,348097.86
2013-10-03,335995.90
2013-10-04,344639.95
2013-10-07,344871.34
2013-10-08,325358.08
2013-10-09,327132.12
2013-10-10,327060.55
2013-10-11,326989.17
2013-10-14,339792.76
2013-10-15,336160.59
2013-10-16,347643.47
2013-10-17,352192.73
2013-10-18,352269.81
2013-10-21,352269.81
2013-10-22,353483.04
2013-10-23,347798.26
2013-10-24,352131.06
2013-10-25,359167.51
2013-10-28,359296.69
2013-10-29,361026.80
2013-10-30,359884.69
2013-10-31,357566.26
2013-11-01,357393.17
2013-11-04,355270.85
2013-11-05,356777.00
2013-11-06,356160.79
2013-11-07,336408.39
2013-11-08,339934.32
2013-11-11,340436.61
2013-11-12,342111.20
2013-11-13,354367.68
2013-11-14,357113.49
2013-11-15,359591.76
2013-11-18,349841.26
2013-11-19,346390.12
2013-11-20,349405.70
2013-11-21,349482.17
2013-11-22,349405.70
2013-11-25,348322.90
2013-11-26,354086.47
2013-11-27,358561.99
2013-11-29,358405.30
2013-12-02,354231.39
2013-12-03,353199.82
2013-12-04,348760.08
2013-12-05,348760.08
2013-12-06,348760.08
2013-12-09,348743.90
2013-12-10,348115.77
2013-12-11,335107.55
2013-12-12,335226.98
2013-12-13,335226.98
2013-12-16,336123.03
2013-12-17,334002.33
2013-12-18,345532.94
2013-12-19,342426.31
2013-12-20,352732.12
2013-12-23,355326.40
2013-12-24,355822.01
2013-12-26,359290.47
2013-12-27,356667.07
2013-12-30,356667.07
2013-12-31,363670.32
2014-01-02,355172.51
2014-01-03,347436.72
2014-01-06,343379.94
2014-01-07,352278.46
2014-01-08,356873.98
2014-01-09,356796.09
2014-01-10,356873.98
2014-01-13,342387.30
2014-01-14,361988.68
2014-01-15,366275.50
2014-01-16,366275.50
2014-01-17,366195.55
2014-01-21,367390.19
2014-01-22,370799.05
2014-01-23,366341.23
2014-01-24,344633.86
2014-01-27,334215.04
2014-01-28,334098.54
2014-01-29,325251.55
2014-01-30,325251.55
2014-01-31,325180.57
2014-02-03,305384.40
2014-02-04,311350.16
2014-02-05,308142.11
2014-02-06,308142.11
2014-02-07,308209.38
2014-02-10,313640.82
2014-02-11,324381.68
2014-02-12,325923.40
2014-02-13,333015.40
2014-02-14,333015.40
2014-02-18,336519.78
2014-02-19,329155.42
2014-02-20,333929.61
2014-02-21,332202.66
2014-02-24,335988.54
2014-02-25,334777.05
2014-02-26,333666.33
2014-02-27,340228.79
2014-02-28,338512.34
2014-03-03,340253.92
2014-03-04,353949.13
2014-03-05,356854.26
2014-03-06,355505.41
2014-03-07,350421.74
2014-03-10,351720.67
2014-03-11,347355.98
2014-03-12,351253.01
