trial,cagr,sharpe,max_drawdown,win_rate,total_trades,final_value,exposure_pct,profit_target_A,profit_target_C,profit_target_C_ratio,stop_trigger_close,entry_day_offset,weakness_mode,entry_timing,exit_timing
74,0.528400,0.8847,0.500119,0.5549,838,90126746.68,0.8255,0.077659,0.061981,0.798122,-0.024686,0,False,open,15:55
75,0.348931,0.6674,0.437086,0.5823,838,12156727.07,0.7457,0.053736,0.008703,0.161955,-0.025338,0,False,vwap_30m,15:55
76,0.351783,0.6706,0.437086,0.5823,838,12575598.43,0.7496,0.053805,0.008861,0.164689,-0.027055,0,False,vwap_30m,15:55
77,0.353451,0.6812,0.450603,0.5835,838,12826797.99,0.7362,0.051966,0.008910,0.171452,-0.023907,0,False,vwap_30m,15:55
78,0.500328,0.8487,0.544639,0.5513,838,66947405.83,0.8242,0.077780,0.013169,0.169305,-0.024068,0,False,vwap_30m,15:55
79,0.335033,0.6491,0.443213,0.5871,838,10296294.59,0.7335,0.051190,0.008467,0.165409,-0.024673,0,False,vwap_30m,15:55
80,0.477765,0.8133,0.547778,0.5501,838,52503135.15,0.8267,0.076926,0.011939,0.155201,-0.025754,0,False,vwap_30m,15:55
81,0.487065,0.7864,0.600281,0.5286,838,58060714.75,0.8634,0.101087,0.070340,0.695843,-0.023388,0,False,9:35,15:55
82,0.458189,0.7168,0.600017,0.5072,838,42393397.86,0.8756,0.145359,0.018777,0.129176,-0.018164,0,False,9:35,15:30
83,0.479281,0.7851,0.608640,0.5167,838,53374155.93,0.8508,0.100880,0.014430,0.143045,-0.018095,0,False,9:35,15:30
84,0.475798,0.7799,0.610442,0.5167,838,51393464.61,0.8503,0.100135,0.013542,0.135239,-0.018138,0,False,9:35,15:30
85,0.464553,0.7141,0.527640,0.5239,838,45460410.15,0.8971,0.142181,0.019312,0.135827,-0.027957,0,False,9:35,15:30
86,0.547657,0.8835,0.486625,0.4916,838,110170067.55,0.8265,0.142922,0.019317,0.135157,-0.005109,0,False,9:35,15:30
87,0.425340,0.6702,0.706409,0.5477,838,29416700.04,0.8912,0.099927,0.013540,0.135495,-0.035550,0,False,9:35,15:30
88,0.458938,0.7337,0.644904,0.5358,838,42744100.61,0.8773,0.100893,0.012768,0.126547,-0.030038,0,False,9:35,15:30
89,0.399679,0.6325,0.702094,0.5442,838,21981264.72,0.8914,0.101915,0.012948,0.127044,-0.034991,0,False,9:35,15:30
90,0.568455,0.9619,0.493296,0.5012,838,136473179.03,0.8027,0.101422,0.012889,0.127087,-0.005059,0,False,9:35,15:30
